Distances,Errors
885.0,0.090014786
886.0,0.1416484
887.0,0.26315993
888.0,0.15308277
889.0,0.058220264
890.0,0.01052685
891.0,0.088483855
892.0,0.06516119
893.0,0.037742008
894.0,0.29085913
895.0,0.062044453
896.0,0.13889585
897.0,0.7411451
898.0,0.78259575
899.0,0.8145172
900.0,0.7216865
901.0,0.6797934
902.0,0.46174923
903.0,0.20326802
904.0,0.000438859
905.0,0.22763751
906.0,0.22057539
907.0,0.14541441
908.0,0.34234807
909.0,0.3189876
910.0,0.28053367
911.0,0.109581895
912.0,0.4827466
913.0,0.5607012
914.0,0.50645155
915.0,0.6586394
916.0,0.5817263
917.0,0.6559915
918.0,0.564409
919.0,0.4703559
920.0,0.37138566
921.0,0.35507748
922.0,0.2121468
923.0,0.68502206
924.0,0.2578075
925.0,0.22641073
926.0,0.24744946
927.0,0.12633026
928.0,0.1099159
929.0,0.18853885
930.0,0.5757322
931.0,0.48086658
932.0,0.32330295
933.0,0.4873327
934.0,0.22941115
935.0,0.10527422
936.0,0.4504799
937.0,0.34872767
938.0,0.41153184
939.0,0.26080018
940.0,0.7357918
941.0,0.70056814
942.0,0.7916752
943.0,0.46045622
944.0,0.38567883
945.0,0.58234644
946.0,0.31378263
947.0,0.29742876
948.0,0.19622031
949.0,0.10820395
950.0,0.39354828
951.0,0.38301325
952.0,0.5793147
953.0,0.64320683
954.0,0.48768628
955.0,0.41249537
956.0,0.33934528
957.0,0.380191
958.0,0.65755504
959.0,0.7089243
960.0,0.51591873
961.0,0.60481334
962.0,0.44989
963.0,0.75507396
964.0,0.75552535
965.0,0.61128765
966.0,0.58077544
967.0,0.63282794
968.0,0.5660191
969.0,0.59073716
970.0,0.6524155
971.0,1.0230837
972.0,0.88734573
973.0,0.81523025
974.0,0.9781541
975.0,0.89136994
976.0,0.8938524
977.0,0.8757952
978.0,0.75892663
979.0,0.7824158
980.0,0.8795477
981.0,0.8435046
982.0,0.5964353
983.0,0.7026494
984.0,0.63240856
985.0,0.6561868
986.0,0.7579687
987.0,0.5082924
988.0,0.6042604
989.0,0.5231126
990.0,0.4737931
991.0,0.43970564
992.0,0.5235672
993.0,0.61462957
994.0,0.79400355
995.0,0.57457083
996.0,0.8170438
997.0,0.6507927
998.0,0.7162396
999.0,0.44509232
1000.0,0.50432736
1001.0,0.5919313
1002.0,0.57477814
1003.0,0.68571746
1004.0,0.5090539
1005.0,0.50031215
1006.0,0.6001042
1007.0,0.66251934
1008.0,0.46803916
1009.0,0.4067276
1010.0,0.38120383
1011.0,0.3061115
1012.0,0.18856364
1013.0,0.3831357
1014.0,0.353095
1015.0,0.3754534
1016.0,0.45819622
1017.0,0.58878225
1018.0,0.33368483
1019.0,0.36529452
1020.0,0.35074273
1021.0,0.34772104
1022.0,0.3192939
1023.0,0.5510884
1024.0,0.34134388
1025.0,0.22647318
1026.0,0.29834056
1027.0,0.2938186
1028.0,0.034471802
1029.0,0.2982122
1030.0,0.32932913
1031.0,0.09637753
1032.0,0.05327565
1033.0,0.2414936
1034.0,0.29587293
1035.0,0.08342061
1036.0,0.09552356
1037.0,0.4009015
1038.0,0.44289884
1039.0,0.59517205
1040.0,0.47639114
1041.0,0.2943876
1042.0,0.06069542
1043.0,0.2276383
1044.0,0.034703515
1045.0,0.2336858
1046.0,0.027028188
1047.0,0.06825212
1048.0,0.29804724
1049.0,0.34135467
1050.0,0.40092543
1051.0,0.31567547
1052.0,0.18153897
1053.0,0.31047362
1054.0,0.23804869
1055.0,0.009025103
1056.0,0.027442701
1057.0,0.07767691
1058.0,0.04165159
1059.0,0.19211954
1060.0,0.029803583
1061.0,0.26325077
1062.0,0.22874966
1063.0,0.06468693
1064.0,0.23825508
1065.0,0.06889809
1066.0,0.389331
1067.0,0.49238837
1068.0,0.12875675
1069.0,0.08884069
1070.0,0.7227019
1071.0,0.14696309
1072.0,0.5233423
1073.0,0.32513022
1074.0,0.30635783
1075.0,0.0545853
1076.0,0.15827164
1077.0,0.13644218
1078.0,0.08234651
1079.0,0.11666256
1080.0,0.17122622
1081.0,0.17068389
1082.0,0.010638845
1083.0,0.16979383
1084.0,0.5444516
1085.0,0.22406934
1086.0,0.17150542
1087.0,0.09191771
1088.0,0.4086887
1089.0,0.0021634132
1090.0,0.023204558
1091.0,0.12842558
1092.0,0.18075797
1093.0,0.53002864
1094.0,0.34515548
1095.0,0.3818627
1096.0,0.4166429
1097.0,0.11051982
1098.0,0.187886
1099.0,0.28971428
1100.0,0.14396529
1101.0,0.08452898
1102.0,0.25231555
1103.0,0.37434527
1104.0,0.07431473
1105.0,0.34871235
1106.0,0.3091381
1107.0,0.18121983
1108.0,0.06618018
1109.0,0.26724482
1110.0,0.18674558
1111.0,0.0319844
